Team,Target,Granularity,Model,MAE,RMSE,MAPE
PBKS,wickets,match,SARIMAX,2.0218265358209258,2.638039094104404,34.506806155389555
PBKS,win_probability_proxy,match,ARIMA,0.49393571815451515,0.49518807803061055,52.879280695494266
PBKS,win_probability_proxy,match,SARIMAX,0.5443544895308239,0.7028418079807519,74.24302399222287
PWI,runs,match,SARIMAX,9.908854184105058,12.466965037381291,6.953188641335725
PWI,runs,match,ARIMA,27.215895922445686,29.217680816216784,20.264599438415278
PWI,wickets,match,ARIMA,2.2300244985704354,2.4635083578720955,36.89938993764522
PWI,wickets,match,SARIMAX,3.1625492929608012,3.669379787638866,52.649853180781335
PWI,win_probability_proxy,match,ARIMA,0.3870131164440625,0.430531565835749,72.22242744685447
PWI,win_probability_proxy,match,SARIMAX,0.39587496947106526,0.5107265611037496,85.8040142978307
RCB,runs,match,SARIMAX,17.004024494867096,21.12438622468345,10.773739330040362
RCB,runs,match,ARIMA,33.82725148363239,41.33489868328062,20.148480457640268
RCB,wickets,match,ARIMA,2.265025797525326,2.6610667358186006,61.7372470037043
RCB,wickets,match,SARIMAX,2.6970494633192152,3.396700472418823,76.62114940469061
RCB,win_probability_proxy,match,ARIMA,0.5047243311663212,0.5057852596786945,52.55273424361489
RCB,win_probability_proxy,match,SARIMAX,0.4613357636021863,0.5457859535948905,30.131607688866353
RPS,runs,match,SARIMAX,24.202534248587256,32.33787941783658,21.34893187207374
RPS,runs,match,ARIMA,19.85055328305475,32.568467359484025,21.30378479012531
RPS,wickets,match,ARIMA,1.735178456436083,2.7062661011907174,115.91056928334041
RPS,wickets,match,SARIMAX,4.045036832048366,4.751843319452704,124.30443237238083
RPS,win_probability_proxy,match,ARIMA,0.4715580643643669,0.5218552141073171,34.71685047117603
RPS,win_probability_proxy,match,SARIMAX,1.1589299041405783,1.3739572492123953,123.12962973124088
RR,runs,match,SARIMAX,23.395275255796435,28.235167667410654,13.391250614270719
RR,runs,match,ARIMA,30.441424405441623,35.70470376222208,19.511790530512364
RR,wickets,match,ARIMA,2.0445584683910725,2.454039754040608,58.43711331083667
RR,wickets,match,SARIMAX,2.2702057838514915,2.752359677303354,68.05603592477217
RR,win_probability_proxy,match,ARIMA,0.5055703417649186,0.5127695276951272,41.54837029460908
RR,win_probability_proxy,match,SARIMAX,0.517036388564921,0.607830586043498,76.6058924753705
SRH,runs,match,SARIMAX,21.330686497912243,27.175954865092372,12.67224258571727
SRH,runs,match,ARIMA,37.44683630963107,50.72045126189142,20.124839053536828
SRH,wickets,match,ARIMA,2.145329594023375,2.615085560137941,47.90817881676349
SRH,wickets,match,SARIMAX,3.420726301906419,3.9805079717543017,55.6918141936277
SRH,win_probability_proxy,match,ARIMA,0.4961333386817082,0.4972665928175251,53.09324528202393
SRH,win_probability_proxy,match,SARIMAX,0.4145082171242136,0.5102553169454694,40.94572132316203
