Team,Target,Granularity,Model,Step,Forecast,Lower_CI,Upper_CI
DC,win_probability_proxy,match,SARIMAX,3,0.2462100057943183,-0.5719276790048886,1.0643476905935252
DC,win_probability_proxy,match,SARIMAX,4,0.23586753971014351,-0.5887969847535433,1.0605320641738303
DC,win_probability_proxy,match,SARIMAX,5,0.20826312337959607,-0.6226702978473115,1.0391965446065037
DC,win_probability_proxy,match,Prophet,1,0.35015136336719965,-0.2978858772897782,0.9826751710857184
DC,win_probability_proxy,match,Prophet,2,0.34530447478574217,-0.2807562667900877,0.9582010433969885
DC,win_probability_proxy,match,Prophet,3,0.34382483402991065,-0.28026768379371586,0.9654470714068477
DC,win_probability_proxy,match,Prophet,4,0.3456721763213457,-0.29101132785235717,0.9347614360776847
DC,win_probability_proxy,match,Prophet,5,0.3507128040249455,-0.32661607696083766,0.9850769544161361
GL,runs,match,ARIMA,1,159.06669656707055,113.94615517074777,204.18723796339333
GL,runs,match,ARIMA,2,149.98529750818676,102.82477079460443,197.1458242217691
GL,runs,match,ARIMA,3,163.5362510336199,115.93463813384187,211.1378639333979
GL,runs,match,ARIMA,4,151.3189302712702,103.67179574038704,198.96606480215337
GL,runs,match,ARIMA,5,163.93365083384677,116.25879174084963,211.6085099268439
GL,runs,match,SARIMAX,1,136.29281040884098,134.95277727443857,137.63284354324338
GL,runs,match,SARIMAX,2,137.27244887616646,133.38615151674145,141.15874623559148
GL,runs,match,SARIMAX,3,138.2078239327448,131.20430166517158,145.211346200318
GL,runs,match,SARIMAX,4,139.09156892041895,128.5473109168574,149.6358269239805
GL,runs,match,SARIMAX,5,140.0516890960112,125.64081515676268,154.46256303525968
GL,runs,match,Prophet,1,163.23954912444324,138.75228274572527,185.43627055633263
GL,runs,match,Prophet,2,161.81358763465738,137.9720275790767,186.66244602204287
GL,runs,match,Prophet,3,160.2685276805688,137.47221823702233,183.4825060187514
GL,runs,match,Prophet,4,158.5415478229334,131.4959935999015,181.79427092481978
GL,runs,match,Prophet,5,156.56869086216233,132.38070337639732,180.3620246088031
GL,wickets,match,ARIMA,1,5.546404585680604,1.6857156758786211,9.407093495482588
GL,wickets,match,ARIMA,2,6.867432411934381,3.0062666293106965,10.728598194558066
GL,wickets,match,ARIMA,3,5.116035895156326,1.1464085741763599,9.085663216136293
GL,wickets,match,ARIMA,4,5.306085494963931,1.1454005580884852,9.466770431839375
GL,wickets,match,ARIMA,5,6.015338444733617,1.8029157701871457,10.227761119280089
GL,wickets,match,SARIMAX,1,3.0037872182143825,2.711418373672312,3.2961560627564532
GL,wickets,match,SARIMAX,2,3.117055777577743,2.4986943061949507,3.7354172489605357
GL,wickets,match,SARIMAX,3,3.210458500446462,2.2373339555145098,4.183583045378414
GL,wickets,match,SARIMAX,4,3.213533671627758,1.8753126545103411,4.5517546887451745
GL,wickets,match,SARIMAX,5,3.313570334836795,1.6102585436429493,5.016882126030641
GL,wickets,match,Prophet,1,5.583023323328417,3.2053490437680607,8.014967232624931
GL,wickets,match,Prophet,2,5.58096831270386,3.2110964261811183,8.080016194919697
GL,wickets,match,Prophet,3,5.593519856667291,3.378898625795185,7.954580231746954
GL,wickets,match,Prophet,4,5.62251530350647,3.1213766081460834,7.774034353826022
GL,wickets,match,Prophet,5,5.6680138033527045,3.3618686796675528,7.907611957929939
GL,win_probability_proxy,match,ARIMA,1,0.25168102078881405,-0.7152352749703558,1.2185973165479838
GL,win_probability_proxy,match,ARIMA,2,0.27555525580568196,-0.6916941258157125,1.2428046374270765
GL,win_probability_proxy,match,ARIMA,3,0.385605872500325,-0.5823961216984039,1.3536078666990539
GL,win_probability_proxy,match,ARIMA,4,0.4654157761223481,-0.5062561803905119,1.437087732635208
GL,win_probability_proxy,match,ARIMA,5,0.5118812128356804,-0.4770952013797243,1.5008576270510852
GL,win_probability_proxy,match,SARIMAX,1,0.9971499515889048,0.9648898373452178,1.029410065832592
GL,win_probability_proxy,match,SARIMAX,2,0.9984848808361569,0.9367351851255172,1.0602345765467966
GL,win_probability_proxy,match,SARIMAX,3,0.9989905131027519,0.9142265913550764,1.0837544348504273
GL,win_probability_proxy,match,SARIMAX,4,0.9976269169549675,0.8940610495958408,1.1011927843140943
GL,win_probability_proxy,match,SARIMAX,5,0.9962056201063435,0.8765709863985156,1.1158402538141714
GL,win_probability_proxy,match,Prophet,1,0.3567607051306114,-0.215515647285613,0.9153191168798026
GL,win_probability_proxy,match,Prophet,2,0.32453463181353537,-0.2168630883410498,0.8890995646976005
GL,win_probability_proxy,match,Prophet,3,0.2867837378298005,-0.26207708576110283,0.8367576178827348
GL,win_probability_proxy,match,Prophet,4,0.2443393582367792,-0.29213712808988235,0.8348767867166621
GL,win_probability_proxy,match,Prophet,5,0.19848918253383185,-0.34323444375654055,0.7196579117782743
GT,runs,match,ARIMA,1,176.37577018582755,112.73727256848645,240.01426780316865
GT,runs,match,ARIMA,2,178.71891084104325,115.04273455714792,242.39508712493858
GT,runs,match,ARIMA,3,177.67590855910342,113.87440044335686,241.47741667484996
GT,runs,match,ARIMA,4,177.55255043182635,113.64095010167796,241.46415076197474
GT,runs,match,ARIMA,5,177.68768458385753,113.68614666123676,241.6892225064783
GT,runs,match,SARIMAX,1,174.08561288392826,153.93150253641633,194.2397232314402
GT,runs,match,SARIMAX,2,187.50439929384189,163.78338977755837,211.2254088101254
GT,runs,match,SARIMAX,3,182.93490353838646,157.92007718985082,207.9497298869221
GT,runs,match,SARIMAX,4,181.10197210630108,155.55304751340057,206.65089669920158
GT,runs,match,SARIMAX,5,176.9382238987118,151.146035680576,202.73041211684762
GT,runs,match,Prophet,1,188.00141735790265,151.32742531693694,227.29160524224218
GT,runs,match,Prophet,2,188.83143681036074,147.6036665540045,228.26355339220603
GT,runs,match,Prophet,3,189.24347804247844,147.1614107657554,229.66304838901803
GT,runs,match,Prophet,4,189.2111050469387,150.22651051310353,227.50216734269043
GT,runs,match,Prophet,5,188.74476820791523,150.9880420698975,229.8478894845343
GT,wickets,match,ARIMA,1,6.460846760120683,1.8081168767972997,11.113576643444066
GT,wickets,match,ARIMA,2,5.7895437185540235,1.137332253501505,10.441755183606542
GT,wickets,match,ARIMA,3,5.8144676829161215,1.1614535653243205,10.467481800507922
GT,wickets,match,ARIMA,4,5.89230251085412,1.180559328586587,10.604045693121652
GT,wickets,match,ARIMA,5,5.804973986528115,1.0932403542001357,10.516707618856094
GT,wickets,match,SARIMAX,1,2.85392669431426,-0.45191324724124327,6.159766635869763
GT,wickets,match,SARIMAX,2,2.8937413533437857,-0.5495444222653165,6.337027128952888
GT,wickets,match,SARIMAX,3,3.7701624608140625,-0.5769648105713436,8.117289732199469
GT,wickets,match,SARIMAX,4,3.0565475810411096,-1.520933488481802,7.634028650564021
GT,wickets,match,SARIMAX,5,5.055563087363853,-0.07352877632167765,10.184654951049385
GT,wickets,match,Prophet,1,5.208292664798066,2.4420773143632486,7.7352749015074345
GT,wickets,match,Prophet,2,5.220450809346976,2.652894947155009,7.959262865517333
GT,wickets,match,Prophet,3,5.300185612488261,2.6277014960064107,8.081905239662367
GT,wickets,match,Prophet,4,5.4439370243879335,2.8065786251055083,8.382618918457581
GT,wickets,match,Prophet,5,5.644754710983109,3.1704710110137597,8.329184768664994
GT,win_probability_proxy,match,ARIMA,1,0.12404488569494765,-0.7882848416935645,1.03637461308346
GT,win_probability_proxy,match,ARIMA,2,0.3995452021358766,-0.5489692262467305,1.3480596305184838
GT,win_probability_proxy,match,ARIMA,3,0.4153615752961446,-0.5344458226214182,1.3651689732137073
GT,win_probability_proxy,match,ARIMA,4,0.4437067313462166,-0.5074874978532635,1.3949009605456968
GT,win_probability_proxy,match,ARIMA,5,0.4542560316934344,-0.5001274682668901,1.408639531653759
GT,win_probability_proxy,match,SARIMAX,1,0.711127953599624,0.14357554317815202,1.278680364021096
GT,win_probability_proxy,match,SARIMAX,2,0.9968668158410994,0.299941205547565,1.6937924261346338
GT,win_probability_proxy,match,SARIMAX,3,0.947031115627019,0.19160478921548207,1.7024574420385559
GT,win_probability_proxy,match,SARIMAX,4,0.9723707919596856,0.19173249544855298,1.7530090884708183
GT,win_probability_proxy,match,SARIMAX,5,1.0887297908471814,0.29502051576831656,1.8824390659260462
GT,win_probability_proxy,match,Prophet,1,0.4820236266329425,-0.1170486055472653,1.0644439546662914
GT,win_probability_proxy,match,Prophet,2,0.41737895272601633,-0.11852908966700663,0.9868483745789484
GT,win_probability_proxy,match,Prophet,3,0.3568718713598714,-0.19965471187145137,0.9264502126805791
GT,win_probability_proxy,match,Prophet,4,0.3037796908170668,-0.2710535966130412,0.9152208828999102
GT,win_probability_proxy,match,Prophet,5,0.2605017559868487,-0.31454172195698576,0.8060932507017443
KKR,runs,match,ARIMA,1,154.04344946145332,93.47086528077787,214.61603364212877
KKR,runs,match,ARIMA,2,153.86982300457083,93.23212593600121,214.50752007314045
KKR,runs,match,ARIMA,3,154.76400512698473,93.99069955600999,215.53731069795947
KKR,runs,match,ARIMA,4,153.97505162815318,93.18746610980709,214.7626371464993
KKR,runs,match,ARIMA,5,154.69226988436304,93.78878142388007,215.59575834484602
KKR,runs,match,SARIMAX,1,132.8520219603892,106.59173855915135,159.11230536162708
KKR,runs,match,SARIMAX,2,134.78201724612987,107.18613668915016,162.3778978031096
KKR,runs,match,SARIMAX,3,134.2240931063284,106.48381894769176,161.96436726496506
KKR,runs,match,SARIMAX,4,133.9676736321625,106.20862513412669,161.7267221301983
KKR,runs,match,SARIMAX,5,134.07284574488546,106.31046959423364,161.83522189553727
KKR,runs,match,Prophet,1,180.63237084684846,142.02141290993407,217.19869043565035
KKR,runs,match,Prophet,2,180.91330390348435,143.68793984612932,218.6166624032997
KKR,runs,match,Prophet,3,180.89253934028375,144.9683337517254,219.2632975480913
KKR,runs,match,Prophet,4,180.58121995427697,143.80131812232753,221.04041963801313
KKR,runs,match,Prophet,5,179.99960873508354,141.16622028732752,219.08412498434853
KKR,wickets,match,ARIMA,1,6.495091198478489,1.6699729069615632,11.320209489995415
KKR,wickets,match,ARIMA,2,5.709598967964743,0.8659404007431348,10.55325753518635
KKR,wickets,match,ARIMA,3,6.2712102466354365,1.4263763647348995,11.116044128535973
KKR,wickets,match,ARIMA,4,5.783808817787171,0.934026482051804,10.633591153522538
KKR,wickets,match,ARIMA,5,6.203673666044385,1.3534514779589468,11.053895854129824
KKR,wickets,match,SARIMAX,1,11.055941239654125,7.1614116530757315,14.950470826232518
KKR,wickets,match,SARIMAX,2,11.314154251877035,7.278786091432714,15.349522412321356
KKR,wickets,match,SARIMAX,3,11.37972593880452,7.327954848914927,15.431497028694114
KKR,wickets,match,SARIMAX,4,11.388911897407445,7.332442584820461,15.445381209994428
KKR,wickets,match,SARIMAX,5,11.394440042474356,7.335051543698534,15.453828541250179
