batter,batsman_total_runs,balls_faced,strike_rate,fours,sixes,boundary_percentage,kmeans_cluster,hierarchical_cluster,batsman_type
M Shahrukh Khan,732,517,141.58607350096713,46.0,50.0,66.12021857923497,3,0,Balanced Batter
M Vijay,2619,2208,118.61413043478261,247.0,91.0,58.57197403589156,1,2,Aggressive Finisher
M Vohra,1083,863,125.49246813441484,104.0,43.0,62.23453370267775,0,0,Anchor Batter
MA Agarwal,2764,2146,128.7977632805219,275.0,100.0,61.50506512301013,1,3,Aggressive Finisher
MC Henriques,1000,801,124.84394506866417,87.0,28.0,51.6,0,2,Anchor Batter
MEK Hussey,1977,1648,119.9635922330097,198.0,52.0,55.84218512898331,0,2,Anchor Batter
MK Pandey,3951,3355,117.7645305514158,340.0,116.0,52.03745887117186,1,3,Aggressive Finisher
MK Tiwary,1695,1489,113.83478844862324,156.0,40.0,50.97345132743363,0,2,Anchor Batter
ML Hayden,1107,839,131.94278903456495,121.0,44.0,67.57000903342367,3,0,Balanced Batter
MM Ali,1167,865,134.91329479768785,95.0,67.0,67.00942587832049,3,0,Balanced Batter
MP Stoinis,2026,1457,139.0528483184626,158.0,106.0,62.58637709772952,3,0,Balanced Batter
MR Marsh,1292,933,138.4780278670954,104.0,75.0,67.02786377708978,3,0,Balanced Batter
MS Bisla,798,737,108.27679782903664,93.0,23.0,63.90977443609023,0,2,Anchor Batter
MS Dhoni,5439,4101,132.626188734455,375.0,264.0,56.70159955874241,2,1,Power Hitter
Mandeep Singh,1706,1418,120.31029619181946,176.0,38.0,54.630715123094966,0,2,Anchor Batter
N Pooran,2293,1433,160.0139567341242,158.0,167.0,71.26035761011775,3,0,Balanced Batter
N Rana,2853,2156,132.32838589981446,261.0,141.0,66.24605678233438,1,3,Aggressive Finisher
N Wadhera,719,522,137.73946360153258,60.0,39.0,65.92489568845619,3,0,Balanced Batter
NV Ojha,1554,1360,114.26470588235294,121.0,79.0,61.64736164736164,0,2,Anchor Batter
P Simran Singh,1355,904,149.88938053097345,141.0,71.0,73.06273062730627,3,0,Balanced Batter
PA Patel,2848,2442,116.62571662571662,365.0,49.0,61.58707865168539,1,2,Aggressive Finisher
PD Salt,1056,623,169.5024077046549,122.0,56.0,78.03030303030303,3,0,Balanced Batter
PP Chawla,624,580,107.58620689655173,56.0,20.0,55.12820512820513,0,2,Anchor Batter
PP Shaw,1892,1321,143.22482967448903,238.0,61.0,69.66173361522199,3,0,Balanced Batter
Q de Kock,3312,2533,130.754046585077,325.0,134.0,63.52657004830918,1,3,Aggressive Finisher
R Ashwin,833,728,114.42307692307692,64.0,29.0,51.62064825930373,0,2,Anchor Batter
R Dravid,2174,1918,113.34723670490094,269.0,28.0,57.22171113155474,0,2,Anchor Batter
R Parag,1570,1156,135.81314878892732,112.0,87.0,61.78343949044586,3,0,Balanced Batter
R Tewatia,1112,851,130.66980023501762,90.0,54.0,61.51079136690647,3,0,Balanced Batter
RA Jadeja,3260,2607,125.04794783275796,240.0,117.0,50.98159509202455,1,3,Aggressive Finisher
RA Tripathi,2291,1707,134.21206795547744,229.0,85.0,62.243561763422086,1,3,Aggressive Finisher
RD Gaikwad,2502,1863,134.29951690821255,231.0,95.0,59.71223021582733,1,3,Aggressive Finisher
RG Sharma,7048,5475,128.73059360730593,640.0,303.0,62.11691259931895,2,1,Power Hitter
RK Singh,1099,793,138.5876418663304,87.0,56.0,62.23839854413102,3,0,Balanced Batter
RM Patidar,1111,759,146.3768115942029,76.0,68.0,64.0864086408641,3,0,Balanced Batter
RR Pant,3566,2504,142.41214057507986,321.0,170.0,64.61020751542344,1,3,Aggressive Finisher
RS Bopara,531,468,113.46153846153847,39.0,16.0,47.45762711864407,0,2,Anchor Batter
RV Uthappa,4954,3927,126.15227909345556,481.0,182.0,60.88009689140089,2,1,Power Hitter
S Badrinath,1441,1245,115.7429718875502,154.0,28.0,54.406662040249834,0,2,Anchor Batter
S Dhawan,6769,5483,123.45431333211745,768.0,153.0,58.94519131334023,2,1,Power Hitter
S Dube,1859,1366,136.09077598828696,108.0,122.0,62.61430876815493,3,0,Balanced Batter
SA Yadav,4311,2961,145.59270516717325,454.0,168.0,65.5068429598701,1,1,Aggressive Finisher
SC Ganguly,1349,1326,101.73453996983409,137.0,42.0,59.30318754633062,0,2,Anchor Batter
SE Marsh,2489,1913,130.10977522216413,269.0,78.0,62.03294495781439,1,3,Aggressive Finisher
SK Raina,5536,4177,132.53531242518554,506.0,204.0,58.67052023121387,2,1,Power Hitter
SM Curran,997,761,131.01182654402103,85.0,41.0,58.77632898696088,0,0,Anchor Batter
SN Khan,585,456,128.28947368421052,63.0,14.0,57.43589743589743,0,2,Anchor Batter
SO Hetmyer,1488,1036,143.62934362934362,94.0,93.0,62.76881720430107,3,0,Balanced Batter
SP Narine,1780,1144,155.5944055944056,189.0,116.0,81.57303370786518,3,0,Balanced Batter
SPD Smith,2495,1999,124.81240620310155,226.0,60.0,50.66132264529058,0,2,Anchor Batter
SR Tendulkar,2334,2044,114.18786692759295,296.0,29.0,58.183376178234795,0,2,Anchor Batter
SR Watson,3880,2892,134.16320885200554,377.0,190.0,68.24742268041237,1,1,Aggressive Finisher
SS Iyer,3735,2905,128.57142857142858,315.0,152.0,58.152610441767074,1,3,Aggressive Finisher
SS Tiwary,1494,1291,115.72424477149497,111.0,50.0,49.79919678714859,0,2,Anchor Batter
ST Jayasuriya,768,573,134.03141361256544,84.0,39.0,74.21875,3,0,Balanced Batter
STR Binny,880,700,125.71428571428571,66.0,35.0,53.86363636363637,0,2,Anchor Batter
SV Samson,4704,3475,135.36690647482015,379.0,219.0,60.16156462585034,2,1,Power Hitter
Shahbaz Ahmed,545,475,114.73684210526316,29.0,25.0,48.80733944954129,0,2,Anchor Batter
Shakib Al Hasan,795,665,119.54887218045113,73.0,21.0,52.57861635220126,0,2,Anchor Batter
Shashank Singh,773,510,151.5686274509804,56.0,43.0,62.35446313065977,3,0,Balanced Batter
Shubman Gill,3866,2867,134.8447854900593,372.0,119.0,56.95809622348681,1,3,Aggressive Finisher
TH David,846,524,161.45038167938932,54.0,60.0,68.08510638297872,3,0,Balanced Batter
TL Suman,676,587,115.1618398637138,55.0,26.0,55.62130177514793,0,2,Anchor Batter
TM Dilshan,1153,1047,110.12416427889207,140.0,24.0,61.05810928013877,0,2,Anchor Batter
TM Head,1146,706,162.32294617563738,126.0,55.0,72.77486910994764,3,0,Balanced Batter
Tilak Varma,1499,1089,137.64921946740128,113.0,74.0,59.77318212141428,3,0,Balanced Batter
V Kohli,8671,6702,129.37928976424948,774.0,292.0,55.91050628531888,2,1,Power Hitter
V Sehwag,2728,1833,148.82705946535734,334.0,106.0,72.28739002932552,1,0,Aggressive Finisher
V Shankar,1233,985,125.17766497461929,88.0,48.0,51.9059205190592,0,2,Anchor Batter
VR Iyer,1468,1107,132.61065943992773,136.0,65.0,63.62397820163488,3,0,Balanced Batter
WP Saha,2934,2368,123.90202702702703,296.0,87.0,58.14587593728698,1,2,Aggressive Finisher
Y Venugopal Rao,985,865,113.8728323699422,77.0,37.0,53.80710659898477,0,2,Anchor Batter
YBK Jaiswal,2166,1454,148.96836313617607,259.0,92.0,73.31486611265005,3,0,Balanced Batter
YK Pathan,3222,2334,138.04627249357327,263.0,161.0,62.63190564866542,1,3,Aggressive Finisher
Yuvraj Singh,2754,2207,124.78477571363842,218.0,149.0,64.12490922294843,1,3,Aggressive Finisher
